Lag (Days),Count
-2006,1
-1916,1
-1871,1
-1864,1
-1862,1
-1826,1
-1813,18
-1801,1
-1799,2
-1797,1
-1794,1
-1793,1
-1785,1
-1778,3
-1727,14
-1719,2
-1716,3
-1694,3
-1651,1
-1640,1
-1633,1
-1632,1
-1616,1
-1609,1
-1571,2
-1567,1
-1564,2
-1562,1
-1531,1
-1530,1
-1514,2
-1512,1
-1491,2
-1477,2
-1448,3
-1413,2
-1405,1
-1394,1
-1329,14
-1321,1
-1315,1
-1314,2
-1307,1
-1300,1
-1284,1
-1254,1
-1240,1
-1146,1
-1143,1
-1140,1
-1132,1
-1127,1
-1126,1
-1104,2
-1091,1
-1086,1
-1084,1
-1080,3
-1076,1
-1042,1
-1026,1
-1021,1
-1013,1
-1010,1
-1007,1
-1000,1
-994,1
-993,1
-992,1
-979,1
-975,1
-971,1
-958,1
-955,1
-943,3
-941,1
-936,1
-925,3
-913,1
-885,1
-878,3
-876,6
-875,3
-874,1
-871,1
-870,1
-868,3
-847,4
-844,1
-840,3
-834,2
-832,1
-831,1
-828,1
-827,4
-826,1
-822,2
-821,2
-820,2
-819,2
-818,1
-817,1
-816,2
-815,7
-814,1
-813,3
-811,4
-808,3
-807,1
-805,2
-804,1
-803,1
-800,1
-799,1
-797,1
-796,2
-792,1
-791,1
-783,1
-782,4
-779,1
-772,1
-770,1
-758,1
-742,1
-737,1
-731,1
-723,4
-720,1
-710,1
-708,1
-698,4
-688,1
-667,1
-664,1
-661,1
-658,1
-657,1
-652,1
-644,1
-628,3
-627,1
-599,1
-593,1
-588,1
-580,2
-574,1
-558,1
-553,2
-552,1
-548,1
-544,1
-538,1
-532,1
-527,1
-518,4
-516,1
-507,1
-489,1
-469,1
-464,1
-462,1
-461,1
-455,1
-440,1
-434,1
-433,2
-428,2
-417,2
-409,1
-395,1
-394,1
-388,2
-380,1
-344,1
-335,1
-333,1
-330,1
-320,1
-319,1
-318,4
-315,1
-306,1
-304,1
-301,2
-294,1
-292,1
-285,1
-284,1
-283,1
-274,1
-259,1
-243,1
-238,1
-235,1
-224,1
-210,1
-199,1
-194,1
-178,1
-160,1
-154,1
-151,1
-133,1
-109,1
-108,4
-101,1
-94,1
-93,1
-84,1
-83,1
-65,3
-41,1
-30,1
-13,1
-8,1
3,1
16,1
21,1
39,1
43,5
51,1
55,3
60,3
71,3
110,1
118,1
126,1
135,2
137,1
149,1
165,1
170,2
179,1
193,1
199,1
205,1
229,1
254,1
280,2
294,1
350,1
351,1
358,1
359,1
376,2
380,1
432,1
434,1
466,1
478,1
484,1
488,3
553,1
556,1
623,1
633,2
634,1
647,1
703,1
814,1
829,1
839,1
844,1
976,1
1041,1
1104,1
1141,1
1168,1
1209,1
1240,1
1453,1
1469,1
1846,1
2211,1
2257,1
2344,2
2356,1
2460,1
2687,1
2709,1
2753,1
2764,1
2774,3
2791,2
2792,3
2793,1
2800,2
2808,1
2809,1
2812,1
2814,3
2819,3
2833,3
2836,3
2884,1
2886,1
2891,5
2897,3
2900,1
2914,2
2942,2
2955,2
2985,3
2990,1
2996,2
3025,2
3030,3
3035,1
3044,2
3051,1
3052,1
3057,3
3060,1
3074,1
3075,1
3089,4
3096,1
3103,2
3112,1
3114,2
3115,1
3124,3
3127,1
3130,2
3131,1
3136,1
3141,1
3144,14
3150,3
3155,1
3158,1
3163,2
3172,1
3177,2
3179,1
3199,2
3212,1
3213,1
3214,2
3216,1
3219,1
3220,1
3221,1
3222,2
3226,3
3233,2
3242,2
3291,1
3297,1
3300,1
3302,1
3304,1
3307,1
3311,1
3317,14
3319,1
3337,2
3340,4
3341,1
3346,1
3348,2
3352,1
3358,1
3367,1
3369,1
3392,1
3401,1
3403,1
3411,1
3417,2
3423,1
3430,3
3431,1
3436,2
3446,1
3455,1
3462,1
3464,1
3466,1
3472,1
3481,1
3485,1
3493,1
3499,2
3501,1
3508,2
3513,1
3514,1
3525,1
3529,2
3530,14
3538,1
3542,1
3543,3
3548,1
3551,2
3559,1
3570,1
3574,1
3577,1
3578,1
3597,1
3605,1
3607,1
3627,1
3639,1
3654,3
3682,1
3724,1
3727,1
3731,1
3733,1
3735,14
3739,1
3740,2
3744,1
3748,1
3750,1
3751,1
3753,1
3770,1
3771,3
3774,1
3777,1
3780,3
3786,2
3788,3
3791,1
3793,1
3794,1
3798,2
3800,1
3801,1
3802,1
3808,1
3810,2
3812,1
3814,3
3815,3
3816,1
3817,1
3820,1
3823,1
3825,1
3826,1
3828,1
3829,1
3832,1
3837,1
3839,1
3842,1
3851,2
3852,1
3856,1
3863,1
3868,1
3870,3
3876,1
3879,1
3885,1
3887,1
3893,2
3897,1
3903,1
3904,1
3911,1
3913,1
3917,2
3919,1
3921,1
3932,1
3934,3
3938,1
3943,1
3947,2
3949,1
3955,1
3963,2
3964,2
3967,1
3970,1
3971,1
3972,1
3974,1
3975,1
3976,3
3977,1
3981,2
3991,1
3992,1
3996,2
3998,1
4004,1
4009,1
4023,1
4026,1
4027,2
4030,1
4036,2
4037,2
4039,1
4040,1
4043,1
4046,1
4057,1
4059,2
4068,1
4069,1
4070,1
4071,1
4072,1
4074,2
4076,1
4080,1
4082,2
4083,2
4085,2
4088,2
4093,1
4094,1
4095,1
4099,2
4102,2
4103,1
4107,1
4109,1
4110,1
4117,1
4120,1
4129,2
4130,1
4136,1
4140,1
4142,1
4146,1
4151,1
4156,2
4157,1
4159,1
4160,1
4161,1
4162,1
4164,2
4175,1
4179,2
4184,3
4189,1
4192,2
4193,1
4194,1
4195,2
4196,1
4197,3
4199,1
4200,1
4201,1
4202,2
4205,2
4206,1
4207,2
4208,2
4210,1
4212,2
4214,3
4216,1
4218,3
4221,1
4222,3
4226,2
4227,3
4228,1
4229,1
4232,1
4238,2
4240,2
4241,1
4247,2
4249,1
4250,1
4256,2
4263,1
4270,1
4276,1
4277,2
4280,2
4282,2
4283,1
4284,1
4285,4
4287,1
4289,1
4290,2
4292,1
4293,1
4296,1
4298,2
4300,1
4302,1
4305,1
4306,1
4313,1
4317,3
4322,2
4326,1
4327,1
4331,1
4333,2
4334,14
4336,3
4338,1
4339,28
4340,2
4341,1
4342,6
4343,2
4345,4
4347,2
4349,1
4352,16
4353,2
4354,4
4355,11
4359,1
4362,48
4363,1
4364,1
4365,1
4368,1
4369,1
4375,1
4377,1
4381,6
4382,5
4383,1
4387,1
4388,1
4389,4
4390,2
4394,2
4396,4
4398,1
4399,1
4403,2
4409,3
4410,4
4411,2
4415,1
4422,14
4432,1
4446,1
4447,1
4458,1
4461,2
4464,1
4466,1
4467,1
4473,1
4474,14
4477,1
4478,2
4483,1
4487,2
4489,2
4491,1
4493,1
4495,14
4496,1
4499,1
4501,1
4505,2
4511,1
4515,1
4522,1
4526,1
4529,2
4530,1
4531,1
4536,4
4537,2
4538,1
4539,1
4542,2
4543,1
4549,1
4552,1
4553,1
4559,5
4565,1
4569,1
4570,2
4572,2
4574,1
4577,3
4579,1
4583,1
4586,1
4587,1
4592,2
4599,2
4605,3
4607,2
4612,1
4619,1
4621,3
4622,1
4623,1
4624,1
4633,1
4650,1
4655,2
4656,2
4660,2
4661,1
4662,1
4667,1
4671,1
4672,1
4674,1
4676,15
4678,1
4684,2
4692,1
4698,1
4703,1
4715,1
4717,1
4719,1
4720,1
4730,1
4731,1
4744,1
4750,2
4756,1
4757,3
4765,1
4780,1
4785,2
4793,1
4796,3
4801,1
4804,4
4810,1
4812,1
4817,1
4820,1
4823,2
4825,1
4827,1
4842,1
4845,1
4850,1
4855,1
4866,1
4873,1
4886,1
4888,1
4915,2
4928,2
4947,1
4952,1
4955,1
4963,1
4998,1
5001,1
5029,1
5031,1
5035,1
5051,1
5052,1
5053,1
5058,1
5062,1
5068,1
5089,1
5092,1
5095,2
5096,1
5115,1
5116,1
5119,1
5124,1
5125,1
5130,1
5131,1
5133,1
5145,1
5147,1
5149,1
5154,1
5160,1
5162,2
5165,2
5166,4
5169,1
5174,14
5179,1
5185,1
5188,3
5192,1
5193,1
5194,1
5199,6
5202,1
5203,1
5207,2
5209,1
5210,1
5212,1
5214,4
5215,3
5216,1
5220,3
5222,3
5224,1
5226,1
5229,2
5235,1
5242,4
5243,2
5249,3
5250,1
5254,1
5255,1
5256,2
5260,1
5263,2
5264,2
5270,1
5275,1
5279,1
5281,1
5283,2
5284,1
5291,1
5301,2
5309,2
5313,1
5316,1
5318,4
5319,2
5320,2
5321,3
5324,2
5326,1
5330,1
5334,2
5335,5
5337,2
5340,4
5341,2
5342,10
5343,1
5346,16
5347,3
5348,1
5349,2
5350,2
5356,1
5357,1
5358,5
5360,5
5361,1
5362,7
5364,4
5367,2
5368,1
5371,1
5377,2
5379,1
5380,1
5381,2
5384,3
5386,1
5387,1
5389,1
5390,4
5391,2
5396,2
5398,1
5400,6
5402,8
5406,4
5407,1
5408,1
5409,1
5415,1
