pipeline,attack_type,attack_id,attack_name,truth_count,prediction_count,tp,fp,fn,precision,recall,f1,jaccard,mapping_accuracy,detection_accuracy,ground_truth_cves,predicted_cves
baseline,CAPEC,1,Accessing Functionality Not Properly Constrained by ACLs,0,20,0,20,0,0.0,0.0,0.0,0.0,0.0,0.0,[],"['CVE-2000-0506', 'CVE-2002-0018', 'CVE-2004-0847', 'CVE-2005-1527', 'CVE-2005-1688', 'CVE-2005-3623', 'CVE-2007-1409', 'CVE-2007-2925', 'CVE-2008-2252', 'CVE-2008-3464', 'CVE-2008-4577', 'CVE-2009-1466', 'CVE-2009-2213', 'CVE-2017-0492', 'CVE-2017-14623', 'CVE-2020-10148', 'CVE-2020-17533', 'CVE-2020-3452', 'CVE-2020-3580', 'CVE-2022-30317']"
baseline,CAPEC,11,Cause Web Server Misclassification,4,20,2,18,2,0.1,0.5,0.16666666666666669,0.09090909090909091,0.0,1.0,"['CVE-2000-1052', 'CVE-2001-0004', 'CVE-2002-0025', 'CVE-2002-1742']","['CVE-2001-0004', 'CVE-2001-0693', 'CVE-2001-1248', 'CVE-2002-0025', 'CVE-2002-0722', 'CVE-2002-0934', 'CVE-2003-0332', 'CVE-2003-0844', 'CVE-2004-0068', 'CVE-2004-0380', 'CVE-2004-0847', 'CVE-2004-2213', 'CVE-2005-0587', 'CVE-2005-0622', 'CVE-2005-1575', 'CVE-2005-1688', 'CVE-2008-0087', 'CVE-2008-3660', 'CVE-2020-3161', 'CVE-2020-3452']"
baseline,CAPEC,112,Brute Force,28,20,3,17,25,0.15,0.10714285714285714,0.125,0.06666666666666667,0.0,1.0,"['CVE-2001-1546', 'CVE-2002-1682', 'CVE-2002-1697', 'CVE-2002-1739', 'CVE-2002-1872', 'CVE-2002-1910', 'CVE-2002-1946', 'CVE-2002-1975', 'CVE-2004-2172', 'CVE-2005-2281', 'CVE-2008-0087', 'CVE-2008-0141', 'CVE-2008-0166', 'CVE-2008-2020', 'CVE-2008-2108', 'CVE-2008-2433', 'CVE-2008-3612', 'CVE-2008-4905', 'CVE-2008-4929', 'CVE-2008-5162', 'CVE-2009-0255', 'CVE-2009-2158', 'CVE-2009-2367', 'CVE-2009-3238', 'CVE-2009-3278', 'CVE-2020-4574', 'CVE-2020-7010', 'CVE-2021-3692']","['CVE-2000-0253', 'CVE-2000-0254', 'CVE-2000-0506', 'CVE-2001-1483', 'CVE-2002-1739', 'CVE-2002-1949', 'CVE-2005-0496', 'CVE-2005-1668', 'CVE-2005-1688', 'CVE-2005-2188', 'CVE-2006-4068', 'CVE-2006-6994', 'CVE-2007-2925', 'CVE-2007-6013', 'CVE-2008-1160', 'CVE-2008-3680', 'CVE-2008-4905', 'CVE-2009-2540', 'CVE-2009-3278', 'CVE-2020-9054']"
baseline,CAPEC,114,Authentication Abuse,0,20,0,20,0,0.0,0.0,0.0,0.0,0.0,0.0,[],"['CVE-2000-0506', 'CVE-2002-0018', 'CVE-2002-0934', 'CVE-2003-1233', 'CVE-2004-0847', 'CVE-2004-1104', 'CVE-2005-1527', 'CVE-2005-1688', 'CVE-2005-2188', 'CVE-2007-4961', 'CVE-2007-6013', 'CVE-2008-2252', 'CVE-2008-3464', 'CVE-2009-2422', 'CVE-2016-2496', 'CVE-2017-0492', 'CVE-2017-14623', 'CVE-2020-10148', 'CVE-2020-3161', 'CVE-2020-3452']"
baseline,CAPEC,115,Authentication Bypass,0,20,0,20,0,0.0,0.0,0.0,0.0,0.0,0.0,[],"['CVE-1999-1454', 'CVE-2000-0506', 'CVE-2002-0018', 'CVE-2002-0870', 'CVE-2004-0847', 'CVE-2005-1827', 'CVE-2005-3435', 'CVE-2006-6679', 'CVE-2007-6013', 'CVE-2008-0961', 'CVE-2008-3464', 'CVE-2008-5027', 'CVE-2009-2213', 'CVE-2009-2422', 'CVE-2017-0492', 'CVE-2020-10148', 'CVE-2020-3161', 'CVE-2020-3452', 'CVE-2022-30319', 'CVE-2022-36436']"
baseline,CAPEC,122,Privilege Abuse,0,20,0,20,0,0.0,0.0,0.0,0.0,0.0,0.0,[],"['CVE-2000-0506', 'CVE-2002-0018', 'CVE-2002-0934', 'CVE-2002-1145', 'CVE-2002-1671', 'CVE-2002-1981', 'CVE-2002-2054', 'CVE-2005-1688', 'CVE-2005-1708', 'CVE-2005-3435', 'CVE-2007-1409', 'CVE-2008-0600', 'CVE-2008-2252', 'CVE-2009-0034', 'CVE-2009-2540', 'CVE-2009-3482', 'CVE-2016-2496', 'CVE-2017-0492', 'CVE-2020-10148', 'CVE-2022-30267']"
baseline,CAPEC,125,Flooding,13,20,5,15,8,0.25,0.38461538461538464,0.30303030303030304,0.17857142857142858,0.0,1.0,"['CVE-1999-1127', 'CVE-2001-0830', 'CVE-2002-1372', 'CVE-2005-4650', 'CVE-2008-1700', 'CVE-2008-5180', 'CVE-2009-2054', 'CVE-2009-2540', 'CVE-2009-2726', 'CVE-2009-4017', 'CVE-2020-15100', 'CVE-2020-7218', 'CVE-2022-21668']","['CVE-1999-1127', 'CVE-2000-1218', 'CVE-2001-0830', 'CVE-2001-1452', 'CVE-2004-1656', 'CVE-2005-1688', 'CVE-2005-1892', 'CVE-2005-4650', 'CVE-2006-2275', 'CVE-2006-3790', 'CVE-2006-6870', 'CVE-2008-2121', 'CVE-2008-5180', 'CVE-2009-2299', 'CVE-2009-2540', 'CVE-2009-4272', 'CVE-2014-0984', 'CVE-2020-15811', 'CVE-2020-3161', 'CVE-2020-3566']"
baseline,CAPEC,127,Directory Indexing,66,20,2,18,64,0.1,0.030303030303030304,0.04651162790697675,0.023809523809523808,0.0,1.0,"['CVE-1999-0426', 'CVE-1999-1077', 'CVE-1999-1454', 'CVE-2000-1179', 'CVE-2001-0006', 'CVE-2001-0497', 'CVE-2001-1155', 'CVE-2001-1550', 'CVE-2002-0066', 'CVE-2002-0870', 'CVE-2002-0969', 'CVE-2002-1711', 'CVE-2002-1713', 'CVE-2002-1798', 'CVE-2002-1844', 'CVE-2003-0304', 'CVE-2003-1035', 'CVE-2004-1714', 'CVE-2004-2144', 'CVE-2004-2257', 'CVE-2005-1654', 'CVE-2005-1668', 'CVE-2005-1685', 'CVE-2005-1688', 'CVE-2005-1697', 'CVE-2005-1698', 'CVE-2005-1827', 'CVE-2005-1892', 'CVE-2005-1941', 'CVE-2005-2801', 'CVE-2005-3623', 'CVE-2005-4868', 'CVE-2006-6679', 'CVE-2007-2925', 'CVE-2007-5544', 'CVE-2007-6033', 'CVE-2008-0322', 'CVE-2008-0662', 'CVE-2008-3424', 'CVE-2008-4577', 'CVE-2008-5027', 'CVE-2008-6123', 'CVE-2008-6548', 'CVE-2008-7109', 'CVE-2009-0034', 'CVE-2009-0115', 'CVE-2009-0141', 'CVE-2009-1073', 'CVE-2009-2213', 'CVE-2009-2282', 'CVE-2009-2960', 'CVE-2009-3168', 'CVE-2009-3230', 'CVE-2009-3289', 'CVE-2009-3482', 'CVE-2009-3489', 'CVE-2009-3597', 'CVE-2009-3611', 'CVE-2009-3781', 'CVE-2009-3897', 'CVE-2009-3939', 'CVE-2020-15708', 'CVE-2022-23607', 'CVE-2022-24730', 'CVE-2022-29238', 'CVE-2022-29527']","['CVE-2000-1117', 'CVE-2001-0004', 'CVE-2001-0054', 'CVE-2001-1043', 'CVE-2002-0725', 'CVE-2002-0934', 'CVE-2002-1451', 'CVE-2002-2094', 'CVE-2003-0282', 'CVE-2003-1233', 'CVE-2004-0127', 'CVE-2004-0778', 'CVE-2005-0622', 'CVE-2005-0918', 'CVE-2005-1575', 'CVE-2005-1688', 'CVE-2007-1409', 'CVE-2008-1284', 'CVE-2020-3452', 'CVE-2022-29238']"
baseline,CAPEC,13,Subverting Environment Variable Values,96,20,5,15,91,0.25,0.052083333333333336,0.08620689655172414,0.04504504504504504,0.0,1.0,"['CVE-1999-0067', 'CVE-2000-1117', 'CVE-2001-1155', 'CVE-2001-1483', 'CVE-2001-1528', 'CVE-2002-0367', 'CVE-2002-0515', 'CVE-2002-1725', 'CVE-2002-1730', 'CVE-2002-1734', 'CVE-2002-2054', 'CVE-2002-2064', 'CVE-2003-0190', 'CVE-2003-1078', 'CVE-2004-0261', 'CVE-2004-0778', 'CVE-2004-1611', 'CVE-2004-2150', 'CVE-2004-2268', 'CVE-2005-0603', 'CVE-2005-1205', 'CVE-2005-1708', 'CVE-2005-1787', 'CVE-2005-2801', 'CVE-2005-3623', 'CVE-2006-3790', 'CVE-2006-5525', 'CVE-2006-6658', 'CVE-2006-6679', 'CVE-2006-6870', 'CVE-2007-1409', 'CVE-2007-2442', 'CVE-2007-2925', 'CVE-2007-3409', 'CVE-2007-5172', 'CVE-2007-5893', 'CVE-2008-0600', 'CVE-2008-1284', 'CVE-2008-1303', 'CVE-2008-1440', 'CVE-2008-1625', 'CVE-2008-1737', 'CVE-2008-1738', 'CVE-2008-2049', 'CVE-2008-2223', 'CVE-2008-2252', 'CVE-2008-2309', 'CVE-2008-2374', 'CVE-2008-3174', 'CVE-2008-3177', 'CVE-2008-3424', 'CVE-2008-3464', 'CVE-2008-3477', 'CVE-2008-3494', 'CVE-2008-3571', 'CVE-2008-3660', 'CVE-2008-3680', 'CVE-2008-3812', 'CVE-2008-3843', 'CVE-2008-4114', 'CVE-2008-4577', 'CVE-2008-4638', 'CVE-2008-5027', 'CVE-2008-5285', 'CVE-2008-5305', 'CVE-2008-5563', 'CVE-2008-5748', 'CVE-2008-5764', 'CVE-2008-6123', 'CVE-2008-6548', 'CVE-2008-7109', 'CVE-2009-0034', 'CVE-2009-2213', 'CVE-2009-2282', 'CVE-2009-2960', 'CVE-2009-3168', 'CVE-2009-3230', 'CVE-2009-3597', 'CVE-2009-3781', 'CVE-2020-3161', 'CVE-2020-3452', 'CVE-2020-3580', 'CVE-2020-9054', 'CVE-2021-21220', 'CVE-2021-22205', 'CVE-2021-25476', 'CVE-2021-30663', 'CVE-2021-30860', 'CVE-2021-37147', 'CVE-2021-44228', 'CVE-2022-0708', 'CVE-2022-1509', 'CVE-2022-24730', 'CVE-2022-31162', 'CVE-2022-36069', 'CVE-2022-45918']","['CVE-1999-0073', 'CVE-2000-1117', 'CVE-2002-0722', 'CVE-2002-0804', 'CVE-2002-0934', 'CVE-2002-1704', 'CVE-2002-1707', 'CVE-2002-2094', 'CVE-2004-0778', 'CVE-2005-0918', 'CVE-2005-1205', 'CVE-2005-1688', 'CVE-2005-3302', 'CVE-2007-0164', 'CVE-2007-1409', 'CVE-2007-3409', 'CVE-2007-4432', 'CVE-2020-10148', 'CVE-2020-15708', 'CVE-2022-21668']"
baseline,CAPEC,130,Excessive Allocation,0,20,0,20,0,0.0,0.0,0.0,0.0,0.0,0.0,[],"['CVE-2000-0506', 'CVE-2000-1218', 'CVE-2002-0018', 'CVE-2002-1372', 'CVE-2004-0174', 'CVE-2006-3790', 'CVE-2006-6870', 'CVE-2007-3409', 'CVE-2007-4103', 'CVE-2008-1700', 'CVE-2008-2121', 'CVE-2008-3660', 'CVE-2008-5563', 'CVE-2009-2054', 'CVE-2009-2299', 'CVE-2009-2540', 'CVE-2009-2858', 'CVE-2009-4272', 'CVE-2020-3161', 'CVE-2020-3566']"
