k,attack_type,attack_id,truth_count,precision,recall,f1,jaccard
10,Procedure,S0698,143,0.1,0.006993006993006993,0.0130718954248366,0.006578947368421052
20,Procedure,S0698,143,0.1,0.013986013986013986,0.024539877300613498,0.012422360248447204
30,Procedure,S0698,143,0.1,0.02097902097902098,0.03468208092485549,0.01764705882352941
40,Procedure,S0698,143,0.125,0.03496503496503497,0.0546448087431694,0.028089887640449437
50,Procedure,S0698,143,0.16,0.055944055944055944,0.08290155440414508,0.043243243243243246
100,Procedure,S0698,143,0.15,0.1048951048951049,0.12345679012345677,0.06578947368421052
150,Procedure,S0698,143,0.20666666666666667,0.21678321678321677,0.21160409556313994,0.1183206106870229
200,Procedure,S0698,143,0.235,0.32867132867132864,0.27405247813411077,0.15878378378378377
10,Procedure,S0630,150,0.2,0.013333333333333334,0.025,0.012658227848101266
20,Procedure,S0630,150,0.2,0.02666666666666667,0.047058823529411764,0.024096385542168676
30,Procedure,S0630,150,0.26666666666666666,0.05333333333333334,0.08888888888888889,0.046511627906976744
40,Procedure,S0630,150,0.25,0.06666666666666667,0.10526315789473685,0.05555555555555555
50,Procedure,S0630,150,0.26,0.08666666666666667,0.13,0.06951871657754011
100,Procedure,S0630,150,0.27,0.18,0.21600000000000003,0.1210762331838565
150,Procedure,S0630,150,0.22666666666666666,0.22666666666666666,0.22666666666666666,0.12781954887218044
200,Procedure,S0630,150,0.245,0.32666666666666666,0.27999999999999997,0.16279069767441862
10,Procedure,S0530,112,0.5,0.044642857142857144,0.0819672131147541,0.042735042735042736
20,Procedure,S0530,112,0.3,0.05357142857142857,0.09090909090909091,0.047619047619047616
30,Procedure,S0530,112,0.2,0.05357142857142857,0.08450704225352113,0.04411764705882353
40,Procedure,S0530,112,0.175,0.0625,0.09210526315789473,0.04827586206896552
50,Procedure,S0530,112,0.2,0.08928571428571429,0.1234567901234568,0.06578947368421052
100,Procedure,S0530,112,0.19,0.16964285714285715,0.17924528301886794,0.09844559585492228
150,Procedure,S0530,112,0.17333333333333334,0.23214285714285715,0.1984732824427481,0.11016949152542373
200,Procedure,S0530,112,0.17,0.30357142857142855,0.21794871794871798,0.1223021582733813
10,Procedure,S0267,120,0.2,0.016666666666666666,0.03076923076923077,0.015625
20,Procedure,S0267,120,0.2,0.03333333333333333,0.05714285714285715,0.029411764705882353
30,Procedure,S0267,120,0.16666666666666666,0.041666666666666664,0.06666666666666667,0.034482758620689655
